【Hinomori Shiho - Old Uniform】

Character: Hinomori Shiho
Category: Old Uniform
Count: 15

---- Card ID | Released | Card Name | Rarity | Attribute | Skill | Event | Image (Normal) | Image (Trained) ----
13 | 2021-12-07 | Distant Loner | 1 | happy | The Importance Of Helping |  | https://storage.sekai.best/sekai-en-assets/character/member/res004_no001/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res004_no001/card_after_training.png
14 | 2021-12-07 | Leo/need | 2 | mysterious | Not Again... |  | https://storage.sekai.best/sekai-en-assets/character/member/res004_no002/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res004_no002/card_after_training.png
15 | 2021-12-07 | Lingering Melody | 3 | cute | Fond Memories |  | https://storage.sekai.best/sekai-en-assets/character/member/res004_no003/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res004_no003/card_after_training.png
111 | 2021-12-08 | Recognizable Passion | 4 | mysterious | Brightest Star Signal | First Star After the Rain | https://storage.sekai.best/sekai-en-assets/character/member/res004_no005/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res004_no005/card_after_training.png
159 | 2022-02-18 | Varied Kindness | 2 | cute | A Little More Gentle | Don't Let Doubts Hold You Back | https://storage.sekai.best/sekai-en-assets/character/member/res004_no006/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res004_no006/card_after_training.png
170 | 2022-03-14 | Bonds And Grief | 4 | cute | Indecisive Heart | Musical Twilight Parade | https://storage.sekai.best/sekai-en-assets/character/member/res004_no007/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res004_no007/card_after_training.png
207 | 2022-05-09 | The Answer I Found | 4 | cool | Together, From Now On | Resonating with you | https://storage.sekai.best/sekai-en-assets/character/member/res004_no008/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res004_no008/card_after_training.png
246 | 2022-07-04 | Lunchtime Chat | 4 | happy | Twilight Tuning | Unnamed Harmony | https://storage.sekai.best/sekai-en-assets/character/member/res004_no009/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res004_no009/card_after_training.png
282 | 2022-09-09 | We're Doing A Debrief Right After | 3 | pure | Believing In My Friends | A Bright Future!! | https://storage.sekai.best/sekai-en-assets/character/member/res004_no011/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res004_no011/card_after_training.png
314 | 2022-11-08 | Hurtful Words | 4 | cool | Behind The Rumors | Putting Feelings Into Words | https://storage.sekai.best/sekai-en-assets/character/member/res004_no012/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res004_no012/card_after_training.png
354 | 2022-12-31 | Sound & Calligraphy | 2 | cool | Nice Assist | The Tomorrow We Hope For | https://storage.sekai.best/sekai-en-assets/character/member/res004_no013/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res004_no013/card_after_training.png
380 | 2023-02-18 | An Old Wish | 4 | pure | A Dreamlike Reality | That day, the Sky was Far Away | https://storage.sekai.best/sekai-en-assets/character/member/res004_no015/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res004_no015/card_after_training.png
388 | 2023-02-28 | Filled With My "Thanks" | 3 | mysterious | Homemade For A Change | A Gentleman Thief's Thrilling White Day?! | https://storage.sekai.best/sekai-en-assets/character/member/res004_no016/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res004_no016/card_after_training.png
419 | 2023-04-21 | How Things Develop From Here | 3 | cool | Crepe Party | Live with Memories | https://storage.sekai.best/sekai-en-assets/character/member/res004_no017/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res004_no017/card_after_training.png
473 | 2023-07-21 | Head-On Rematch | 2 | happy | Because It's That Important | No seek No find | https://storage.sekai.best/sekai-en-assets/character/member/res004_no019/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res004_no019/card_after_training.png
