【Aoyagi Toya - New Uniform】

Character: Aoyagi Toya
Category: New Uniform
Count: 14

---- Card ID | Released | Card Name | Rarity | Attribute | Skill | Event | Image (Normal) | Image (Trained) ----
552 | 2023-12-11 | Christmas At The Aoyagis' | 4 | happy | Another Memory To Cherish | Find A Way Out | https://storage.sekai.best/sekai-en-assets/character/member/res012_no021/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res012_no021/card_after_training.png
598 | 2024-02-19 | Perfect Librarian | 3 | cool | The New Volume I've Been Coveting | Kick It Up a Notch | https://storage.sekai.best/sekai-en-assets/character/member/res012_no022/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res012_no022/card_after_training.png
660 | 2024-06-10 | Understanding The Gap | 4 | cute | The Truth Behind That Sadness | Light Up the Fire | https://storage.sekai.best/sekai-en-assets/character/member/res012_no025/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res012_no025/card_after_training.png
696 | 2024-08-10 | It's Been A While | 4 | pure | One Last Cup | On Your Feet | https://storage.sekai.best/sekai-en-assets/character/member/res012_no026/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res012_no026/card_after_training.png
735 | 2024-09-30 | Brand New Style | 2 | mysterious | Turning Over New Leaves |  | https://storage.sekai.best/sekai-en-assets/character/member/res012_no027/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res012_no027/card_after_training.png
771 | 2024-10-12 | A Brief Nap | 3 | cool | Future Of The Flame | Burn My Soul | https://storage.sekai.best/sekai-en-assets/character/member/res012_no028/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res012_no028/card_after_training.png
800 | 2024-11-30 | To The Costuming Team! | 2 | cool | Learning To Sew! | Picture Perfect! | https://storage.sekai.best/sekai-en-assets/character/member/res012_no029/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res012_no029/card_after_training.png
864 | 2025-01-31 | Trying My Hand At Modeling! | 3 | cute | Chocolate For Friends | Take the Best Shot! | https://storage.sekai.best/sekai-en-assets/character/member/res012_no032/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res012_no032/card_after_training.png
890 | 2025-03-22 | My Shackles Are The Key | 4 | happy | Even Though Our Paths Differ | The First Concerto | https://storage.sekai.best/sekai-en-assets/character/member/res012_no033/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res012_no033/card_after_training.png
955 | 2025-06-30 | Don't Let It End Yet | 2 | happy | Thoughts On Composition | Over Rad Squad!! | https://storage.sekai.best/sekai-en-assets/character/member/res012_no036/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res012_no036/card_after_training.png
973 | 2025-08-09 | Shared Admiration | 4 | mysterious | An Unexpected Smile | Play That Beautiful Sound! | https://storage.sekai.best/sekai-en-assets/character/member/res012_no037/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res012_no037/card_after_training.png
1020 | 2025-10-21 | It's Invisible, But There | 2 | cute | A Mountain Of Study Materials | Rekindle the Flame | https://storage.sekai.best/sekai-en-assets/character/member/res012_no039/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res012_no039/card_after_training.png
1062 | 2025-12-31 | Taking On A New Challenge | 3 | pure | Focusing The Mind | Unfading Wishing | https://storage.sekai.best/sekai-en-assets/character/member/res012_no040/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res012_no040/card_after_training.png
1065 | 2026-01-11 | On Foreign Streets | 4 | happy | Surprising Family History | Time to Take Off! | https://storage.sekai.best/sekai-en-assets/character/member/res012_no041/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res012_no041/card_after_training.png
