【Tenma Tsukasa - 4Star】

Character: Tenma Tsukasa
Category: 4Star
Count: 24

---- Card ID | Released | Card Name | Rarity | Attribute | Skill | Event | Image (Normal) | Image (Trained) ----
120 | 2021-12-24 | Zombies?! Time To Panic! | 4 | happy | A Troupe Leader's Duty! | It's On! Wonder Halloween! | https://storage.sekai.best/sekai-en-assets/character/member/res013_no005/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res013_no005/card_after_training.png
141 | 2022-01-25 | I'm The Lead! | 4 | mysterious | After The Laughter | KAMIYAMA HIGH FESTIVAL! | https://storage.sekai.best/sekai-en-assets/character/member/res013_no006/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res013_no006/card_after_training.png
186 | 2022-04-07 | Big Brother's Agony | 4 | pure | Sleeping Soundly In Anticipation! | Doll Festival at the Tenma's | https://storage.sekai.best/sekai-en-assets/character/member/res013_no010/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res013_no010/card_after_training.png
232 | 2022-06-18 | The Outcome Of My Choice | 4 | cool | To The Next Stage! | Wonder Magical Showtime! | https://storage.sekai.best/sekai-en-assets/character/member/res013_no011/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res013_no011/card_after_training.png
293 | 2022-10-01 | Backstage Encouragement | 4 | pure | Strength From Smiles | Scramble Fan Festival! | https://storage.sekai.best/sekai-en-assets/character/member/res013_no012/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res013_no012/card_after_training.png
357 | 2023-01-12 | Dance! And! Sing! | 4 | cool | The Dream Park Performance I Saw | Popping in My Heart! | https://storage.sekai.best/sekai-en-assets/character/member/res013_no014/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res013_no014/card_after_training.png
385 | 2023-02-28 | An Emergency Meeting?! | 4 | mysterious | Chocolate Pegasus! | A Gentleman Thief's Thrilling White Day?! | https://storage.sekai.best/sekai-en-assets/character/member/res013_no015/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res013_no015/card_after_training.png
410 | 2023-04-11 | Star Melody | 4 | cute | A Step Closer To Becoming A Star! | On the Stage of Dazzling Light | https://storage.sekai.best/sekai-en-assets/character/member/res013_no016/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res013_no016/card_after_training.png
451 | 2023-06-20 | A Persistent Game Of Tag | 4 | happy | Back Home After Several Days | Desperate Times?! Island Panic! | https://storage.sekai.best/sekai-en-assets/character/member/res013_no018/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res013_no018/card_after_training.png
523 | 2023-10-21 | A Rush Of Excitement | 4 | cool | Jotting Down Idiosyncrasies | A Sad Farewell at the Curtain Call | https://storage.sekai.best/sekai-en-assets/character/member/res013_no019/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res013_no019/card_after_training.png
