【Mochizuki Honami - Cards】

Name: Mochizuki Honami
Card Count: 46

---- Released | Card Name | Rarity | Attribute | Skill | Event ----
2021-12-07 | The Kind Honor Student | 1 | mysterious | Apple Pie, Please | 
2021-12-07 | Leo/need | 2 | cool | I've Got To Grow | 
2021-12-07 | Unchanging Flavor | 3 | happy | So Close, Yet So Far | 
2021-12-08 | Rest Well | 3 | pure | Etoile By The Window | First Star After the Rain
2022-02-18 | Grateful For Courage | 4 | happy | Even If Easily Shaken... | Don't Let Doubts Hold You Back
2022-03-14 | Welcome To The Nightmare | 4 | cute | A Promise Kept | Musical Twilight Parade
2022-04-07 | Even Though I Shouldn't... | 2 | mysterious | Smiling Through Courage | Doll Festival at the Tenma's
2022-05-09 | Unseen Feelings | 4 | cool | To Be There For You One Day | Resonating with you
2022-07-04 | Thinking About Friends | 3 | cool | I'm Sure She'll Understand | Unnamed Harmony
2022-08-01 | Swimming Lessons in the Sea | 4 | pure | Don't Worry, I'll Swim With You | The BEST Summer Ever!
2022-09-09 | Figuring Out What I Can Do | 4 | mysterious | Thoughts About Creating | A Bright Future!!
2022-10-27 | Happy Birthday! | bd | mysterious | A Happy, Teary Birthday | 
2022-11-08 | Because You're Our Dear Friend | 4 | cool | Becoming A Pillar Of Support | Putting Feelings Into Words
2022-11-29 | For My Dear Childhood Friends | 2 | pure | Waiting For That Day | The Warmth of Intersecting Melodies
2022-12-31 | How to Spend New Year's Eve | 4 | cute | Woof Woof?! | The Tomorrow We Hope For
2023-02-18 | Cool Rider Lady | 2 | happy | A Promise To A Classmate | That day, the Sky was Far Away
2023-04-21 | A Piece Of Kindness | 4 | mysterious | A Kind And Thoughtful Gift | Live with Memories
2023-06-30 | The Courage I've Mustered | 4 | happy | Even If Nobody Wants Me To | 
2023-08-31 | The Power Of Faith | 2 | cute | I Can't Thank You Enough | Don't lose faith!
2023-09-10 | How Did This Happen? | 4 | mysterious | My Mr. Crocodile And Mr. Cat | Paint What I Love♪ Rainbow Canvas
2023-09-30 | Getting Our Name Out There | 3 | cute | I Have To Get The Others! | At This Festival Bathed in Twilight
2023-10-27 | Happy Birthday! 2023 | bd | pure | Too Many Presents To Hold | 
2023-11-10 | With A Side Of Compassion | 4 | happy | Doing Something For Someone Else | Echo My Melody
2024-01-21 | Aftermath Of Courage | 4 | cute | Dependency Sandwich | Little Bravers!
2024-01-31 | Beyond A Smile | 3 | mysterious | For Everyone's True Feelings | Memories That Come With The Scent of Candles
2024-04-11 | Just Get Over This Feeling | 4 | pure | Conveying Gratitude | Get Over It
2024-05-31 | A Bell Of Gratitude And Blessing | 4 | pure | Their Reasons Are Their Own | To You, My Caring Companion
2024-07-21 | With All Our Supporters | 3 | happy | We're Going Shopping! | Our Constellation of Song
2024-09-30 | Brand New Style | 2 | mysterious | Family Pet Pride | 
2024-10-22 | Looking For My Answer | 4 | pure | Authentic Shot | Stick to Your Faith
2024-10-27 | Happy Birthday! 2024 | bd | cool | Hona Gratitude Day | 
2025-01-07 | Featuring MARRONCREAM | 2 | happy | Cooking and Crafts! | 
2025-02-10 | Guiding Resolve | 4 | cool | During My Training | Lead With Courage and Kindness
2025-03-30 | Fluffy Break Time | 4 | cool | It's Only Natural | Rise as One!
2025-04-20 | Let's All Get Along♪ | 2 | cool | Some Spice To Pep You Up | Parallel Harmonies
2025-07-17 | What I Couldn't Say | 4 | happy | The Picture Of Strength | Our Starry Sky Leading to the Future
2025-08-31 | Test Of Courage 2?! | 4 | cool | We All Know Him? | Wonderhorror?! A Test of Courage!
2025-09-20 | Discovering The Joys Of Drumming | 3 | cool | A Leader's Duty | This Moment With You!
2025-10-27 | Happy Birthday! 2025 | bd | cute | A Pooch-itively Great Birthday | 
2025-10-31 | On The Music Video Set | 4 | happy | Say It With A Smile | Happy Enjoy Music!
2025-04-28 | Let's Enjoy The Movie! | 2 | cute | Dressed Up A Little | 
2026-02-20 | Turning Cherished Pages | 4 | cute | For Those Important To Us | Yesteryear Read-Aloud
2026-03-30 | My Past Selves | 4 | mysterious | The Scary Me | Find the Dream View
2026-06-23 | Daydreams For The Future | 4 | mysterious | Glad We Feel The Same | Ordinary, Yet Special Us
2026-07-15 | Noise Gives Way To Silence | 4 | cute | Everyone's Support | Unsteady, Still Steady Step
2026-08-04 | Featuring Ringotchi | 2 | pure | A Sweet Friend | 
