【Yoisaki Kanade - Cards】

Name: Yoisaki Kanade
Card Count: 46

---- Released | Card Name | Rarity | Attribute | Skill | Event ----
2021-12-07 | Loved By Music | 1 | mysterious | Is Eating Necessary? | 
2021-12-07 | Nightcord at 25:00 | 2 | cute | Shared Destiny | 
2021-12-07 | Beyond The Screen... | 3 | happy | Music Before Food | 
2021-12-16 | Lifelike | 4 | cool | After Strife Comes... | Imprisoned Marionette
2022-03-22 | From Feeling To Melody | 4 | happy | Not Unwanted | Insatiable Pale Color
2022-06-07 | The Dream I Saw Will One Day | 4 | mysterious | The Spark That Lights The Dark | 
2022-04-23 | This Spring, With You... | 2 | cool | That Voice I Still Remember | Singing Among the Cherry Blossoms
2022-05-01 | Ephemerality And Beauty | 3 | pure | Noises That Echo In My Room | Secret Distance
2022-06-26 | Flowerbed of Memories | 4 | mysterious | Flower Therapy | Carnation Recollection
2022-09-20 | Awkward Tea Time | 2 | pure | Mafuyu's Gratitude | Mirage of Light
2022-10-01 | The World Shown Through Music | 3 | mysterious | A Brilliant Singing Voice | Scramble Fan Festival!
2022-10-28 | What The Hanged Girl Saw | 4 | cute | The Genius's Ears | What lies behind. What lies ahead.
2022-11-29 | The Usual Ramen | 3 | cool | A Calm Moment | The Warmth of Intersecting Melodies
2023-01-21 | Faintly Glowing Elpis | 4 | pure | Even From Now On, As Four | Someday, From the Depths of Despair
2023-02-10 | Happy Birthday! | bd | cool | A Memorable Dish | 
2023-03-20 | When The Sound Becomes Clear | 4 | cool | Rely On Me Whenever | On This Blank Canvas, I Paint
2023-06-10 | To Not Let Go Of That Hand | 2 | mysterious | I'll Find It Again And Again | What Lies Beyond Guiding a Lost Child
2023-06-30 | With This Pitch...! | 4 | happy | A Fast-Flowing Conversation | Let's Enjoy Together! SpoJoy Park
2023-08-20 | Squinting At The Sunlight | 4 | cute | First Time Cafe Work | And Now, I Wear This Ribbon
2023-09-10 | Guiding Encounters | 2 | happy | Meatballs Instead Of Croquettes | Paint What I Love♪ Rainbow Canvas
2023-11-20 | The Best Specialty Shop In Town | 4 | mysterious | The Difference Between Then And Now | Hope Will Someday Go Beyond the Morning
2024-01-31 | Thinking Of Who It's For | 4 | cool | What Lights Up The Heart | Memories That Come With The Scent of Candles
2024-02-10 | Happy Birthday! 2024 | bd | pure | SpoJoy Park Returns! | 
2024-03-21 | Burning Resolve | 4 | pure | Warmth At Your Side | Immiscible Discord
2024-05-31 | She Who Brings Me Warmth | 4 | pure | Not Alone At The Table | To You, My Caring Companion
2024-07-11 | I'm Here, My Friend | 4 | mysterious | The Pain Of Waiting | Farewell, My Mask
2024-09-30 | Brand New Style | 2 | pure | Appreciating The Everyday | 
2024-09-30 | Ceremony In The Classroom | 4 | cute | Encouraging Song | Hello to a New Day!
2024-11-08 | Seeing Her In A Child | 4 | pure | Awkward Living Arrangement | Searching for Sunken Shadows
2025-01-07 | Featuring Marumofubiyori | 2 | cute | Super Homebodies | 
2024-12-20 | Memory Of A Warm Melody | 4 | happy | Magic Flower Field | The Way I Played That Day
2025-02-10 | Happy Birthday! 2025 | bd | happy | A Celebratory Melody | 
2025-02-28 | A Cup For You | 4 | happy | What The Tea Party Gave Me | Relaxing Tea Time
2025-04-10 | Early Morning Struggles | 3 | cute | Major Bedhead | Knowing the Unseen
2025-06-20 | Wishing Her A Restful Night | 2 | mysterious | Special Tea | A Light Drawn Closer
2025-06-30 | Memories Reclaimed | 4 | cute | Even If Fractured | 
2025-08-09 | Mouthpiece Challenge! | 4 | mysterious | Lucky Hands | Play That Beautiful Sound!
2025-10-12 | We're Forgetting Something | 2 | cool | Group Costume Show | Whither This Path of Thorns
2025-11-30 | In The Dark | 3 | mysterious | Because You're One Of Us | With Our Wounded Hands
2025-04-28 | Let's Enjoy The Movie! | 2 | happy | Careful Not To Spill | 
2026-01-21 | The Stranger In The Mirror | 4 | cool | Functionality First | Show Your Shine
2026-02-10 | Happy Birthday! 2026 | bd | cute | Surrounded By Friends | 
2026-03-20 | Unformed Sound | 4 | cool | Surfacing Feelings | Unreliable Notes
2026-04-30 | Vacant Room | 4 | mysterious | Doing What I Can | The Stopped Hand Moves Once More
2026-06-09 | Between Classes | 4 | pure | Take A Crack At It | In an Ephemeral Embrace
2026-08-22 | Clothes That Catch My Eye? | 3 | pure | The Thought That Went In | Tying Tomorrow's Ribbon
