【Hatsune Miku - Cards】

Name: Hatsune Miku
Card Count: 59

---- Released | Card Name | Rarity | Attribute | Skill | Event ----
2021-12-07 | Legendary Songstress | 1 | cute | Let's Have Fun! | 
2021-12-07 | School SEKAI | 2 | cute | Feeling Needed | 
2021-12-07 | Stage SEKAI | 2 | cool | Infinite Potential! | 
2021-12-07 | Street SEKAI | 2 | pure | Important To Us Too | 
2021-12-07 | Wonderland SEKAI | 2 | happy | Innocent Improviser | 
2021-12-07 | Empty SEKAI | 2 | mysterious | Happiness Is Ticklish | 
2021-12-07 | Protective Gaze | 3 | pure | I Have To Find Them | 
2021-12-07 | The Big Debut | 4 | cute | To The Stage! | 
2021-12-16 | Severed Thread | 4 | cool | Discover More | Imprisoned Marionette
2022-01-09 | Time To Cheer! | 4 | pure | Go! Go! Go♪ | Run! Sports Festival! Committee Rush
2022-02-02 | Wonder☆Christmas | 4 | cute | Snow, Sleigh, Reindeer, Santa! | On This Holy Night, I Sing
2022-02-10 | Powerful Smile | 4 | pure | Be My Rival | SEKAI Happy New Year!
2022-04-23 | An Evolving Tone | 4 | pure | Secretly Concerned | Singing Among the Cherry Blossoms
2022-08-01 | Where Could The Big Shell Be? | 3 | mysterious | Greeting From The Coral Reef♪ | The BEST Summer Ever!
2022-08-30 | Rooftop Chat | 3 | happy | Seeing Right Through You | The Moon Rabbit & Us
2022-10-01 | Where Feelings Come Together | 4 | mysterious | Our Feelings In Your Hands | 
2022-10-14 | Even What You Don't Want To Hear | 4 | cool | Challenge Accepted | Bout for Beside You
2022-11-29 | Straightforward Lyrics | 4 | cute | The First Snow | The Warmth of Intersecting Melodies
2022-12-14 | The Slothful, Sleepless Widow | 2 | happy | The Sleeping Princess's Gift | 
2022-12-31 | The Top Karuta-Playing Idol? | 3 | pure | Master, It's Begun! | The Tomorrow We Hope For
2023-01-21 | Watching Over Those First Feelings | 2 | cute | SEKAI And I Are Here To Stay | Someday, From the Depths of Despair
2023-03-11 | The SEKAI Dressing Room Is This Way♪ | 4 | pure | Gratitude Within Each Stitch | Cast a Spell on You
2023-03-30 | Among The Petals Dancing In The Wind | 4 | happy | Cherry Blossoms Filled With Warmth | Connected Through SEKAI's Cherry Blossoms
2023-04-11 | Become The Understudy! | 2 | mysterious | Let's Find Some Commonalities! | On the Stage of Dazzling Light
2023-04-30 | How About Tickling? | 3 | cute | A Back-To-Our-Roots Show | Tied By Painful Hope
2023-07-31 | Miku Miku ☆ Gunner! | 2 | cool | Let's Doodle Together♪ | close game/OFFLINE
2023-08-31 | Happy Anniversary! | bd | happy | A Duet Of Gratitude♪ | 
2023-09-30 | At Least Let Me | 4 | pure | I'm By Your Side | 
2023-10-21 | Feeling Down, Down, Down | 3 | cool | So I Can Do Shows With You All | A Sad Farewell at the Curtain Call
2023-11-10 | Voices In Unison | 4 | happy | May This Song Reach You | Echo My Melody
2024-01-21 | Watchful Seniors | 3 | cool | It's Incredible! | Little Bravers!
2024-02-29 | Good At Cooking? | 3 | happy | Blood-Curdling Cuisine! | Never Give Up Cooking!
2024-03-30 | Intro To Street Music | 4 | happy | Wanting To Help More | In This Singing City
2024-05-11 | Yokohama? I Predict Good Food♪ | 4 | mysterious | Curry! Castella! Crepes! | One Small Trip Before a Big Journey
2024-08-10 | Because You Burn So Bright | 2 | mysterious | Take My Frustration | On Your Feet
2024-08-31 | Happy Anniversary! 2024 | bd | mysterious | Who's Your Favorite Miku? | 
2024-08-31 | Shiny Smiley Magic | 4 | cute | A Miku Story | Let SEKAI Hear Your Song!
2024-09-30 | Original Style | 2 | pure | Sound Of The Future | 
2024-09-30 | Brand New School | 2 | cool | They're Like Shooting Stars | 
2024-09-30 | Brand New Stage | 2 | happy | Miku's Debt Of Gratitude | 
2024-09-30 | Brand New Street | 2 | cute | Say It With A Smile | 
2024-09-30 | Brand New Wonderland | 2 | mysterious | Wish-Granting Treasure | 
2024-09-30 | Brand New Empty | 2 | pure | Quietly Watching Change | 
2024-11-09 | By The Lakeside | 2 | cool | Come Visit Anytime | Searching for Sunken Shadows
2025-01-07 | Featuring Hello Kitty | 4 | mysterious | Hello New Friends♪ | 
2025-02-20 | Marks With A Message | 4 | pure | A Packing Spectator's Tour! | From the Marks Left Behind
2025-06-30 | Beyond That Door | 4 | mysterious | Just Us, Together | Over Rad Squad!!
2025-08-17 | Entrusted Feelings | 4 | cool | Feelings Of Support | With You at SEKAI's Beginnings
2025-08-31 | Happy Anniversary! 2025 | bd | cool | Field Trip! Let's Go! | 
2025-12-11 | That Glint In Your Eye | 4 | happy | Picking The Best Gifts | Grow Glorious Glow
2025-04-28 | Let's Enjoy The Movie! | 2 | cute | Excited To Watch Together! | 
2025-04-28 | From The Window SEKAI | 4 | cool | I'll Be Here Waiting | 
2026-03-30 | Wrapped Up In Your Emotions | 4 | cool | To Be Everyone's Senior | Find the Dream View
2026-05-03 | Intersecting Worlds | 4 | happy | Fantasy Concerto Chronicle | 
2026-05-31 | An Imminent Threat | 4 | cute | A Taste Of America | Aim Higher and Higher!
2026-08-30 | So Hoppy To See You! | 3 | cute | Hoppity Hop Hop! | Deep Dark for Light
2026-08-31 | Happy Anniversary! 2026 | bd | pure | 100% Miku Anniversary Concert?! | 
2026-09-06 | A Precious Promise | 4 | happy | Proud Of "Myself" | Link the Beats!
2026-08-04 | A Guiding Song | 4 | cool | To Sing Together Again | 
