【Unit Original】

Count: 107

---- Title | Artist | Lyricist | Composer | Arranger | Released | Event | Category | Jacket | Preview Audio | Vocal Version ----
Becoming Potatoes | Neru | Neru | Neru | Neru | 2021-12-30 | It's On! Wonder Halloween! |  | https://storage.sekai.best/sekai-en-assets/music/jacket/jacket_s_052/jacket_s_052.png | https://storage.sekai.best/sekai-en-assets/music/short/0052_01/0052_01_short.mp3 | SEKAI ver. / VIRTUAL SINGER ver. / VIRTUAL SINGER ver.
Forward | R Sound Design | R Sound Design | R Sound Design | R Sound Design | 2022-01-08 | Singing in Sync |  | https://storage.sekai.best/sekai-en-assets/music/jacket/jacket_s_055/jacket_s_055.png | https://storage.sekai.best/sekai-en-assets/music/short/0055_01/0055_01_short.mp3 | SEKAI ver. / Cover ver. / VIRTUAL SINGER ver. / VIRTUAL SINGER ver.
Jack Pot Sad Girl | syudou | syudou | syudou | syudou | 2021-12-16 | Imprisoned Marionette |  | https://storage.sekai.best/sekai-en-assets/music/jacket/jacket_s_062/jacket_s_062.png | https://storage.sekai.best/sekai-en-assets/music/short/0062_01/0062_01_short.mp3 | SEKAI ver. / VIRTUAL SINGER ver. / Cover ver. / Cover ver. / Cover ver.
Stella | JIN | JIN | JIN | - | 2021-12-15 | First Star After the Rain |  | https://storage.sekai.best/sekai-en-assets/music/jacket/jacket_s_064/jacket_s_064.png | https://storage.sekai.best/sekai-en-assets/music/short/0064_01/0064_01_short.mp3 | SEKAI ver. / Cover ver. / Cover ver. / VIRTUAL SINGER ver.
Color of Drops | 40mP | 40mP | 40mP | 40mP | 2022-03-05 | My Color! |  | https://storage.sekai.best/sekai-en-assets/music/jacket/jacket_s_089/jacket_s_089.png | https://storage.sekai.best/sekai-en-assets/music/short/vs_0089_01/vs_0089_01_short.mp3 | VIRTUAL SINGER ver. / SEKAI ver. / Cover ver. / Cover ver. / Cover ver.
Close to gray | Three | Three | Three | Three | 2022-03-29 | Insatiable Pale Color |  | https://storage.sekai.best/sekai-en-assets/music/jacket/jacket_s_090/jacket_s_090.png | https://storage.sekai.best/sekai-en-assets/music/short/vs_0090_01/vs_0090_01_short.mp3 | VIRTUAL SINGER ver. / SEKAI ver. / Cover ver. / Cover ver.
Awaiting Clear Skies | Orangestar | Orangestar | Orangestar | Orangestar | 2022-02-18 | Don't Let Doubts Hold You Back |  | https://storage.sekai.best/sekai-en-assets/music/jacket/jacket_s_097/jacket_s_097.png | https://storage.sekai.best/sekai-en-assets/music/short/vs_0097_01/vs_0097_01_short.mp3 | VIRTUAL SINGER ver. / SEKAI ver. / Cover ver. / Cover ver.
MORE! JUMP! MORE! | NayutalieN | NayutalieN | NayutalieN | NayutalieN | 2022-01-17 | Time to RE:START! |  | https://storage.sekai.best/sekai-en-assets/music/jacket/jacket_s_099/jacket_s_099.png | https://storage.sekai.best/sekai-en-assets/music/short/se_0099_01/se_0099_01_short.mp3 | SEKAI ver. / VIRTUAL SINGER ver.
RAD DOGS | Hachioji P | q*Left | Hachioji P | Hachioji P | 2022-03-06 | Nocturne Interlude |  | https://storage.sekai.best/sekai-en-assets/music/jacket/jacket_s_101/jacket_s_101.png | https://storage.sekai.best/sekai-en-assets/music/short/vs_0101_01/vs_0101_01_short.mp3 | VIRTUAL SINGER ver. / SEKAI ver. / Cover ver. / Cover ver.
NIJIIRO STORIES | OSTER project | OSTER project | OSTER project | OSTER project | 2022-02-02 | On This Holy Night, I Sing |  | https://storage.sekai.best/sekai-en-assets/music/jacket/jacket_s_103/jacket_s_103.png | https://storage.sekai.best/sekai-en-assets/music/short/vs_0103_01/vs_0103_01_short.mp3 | VIRTUAL SINGER ver. / SEKAI ver. / Cover ver. / Cover ver.
